Image,png,brisque,nrqm,pi,nima,paq2piq,cnniqa,dbcnn,musiq-ava,musiq-koniq,musiq-spaq,clipiqa,clipiqa+,tre-koniq,topiq_nr,qalign,topiq_iaa,topiq_iaa_res50,laion_aes,antelopev2,arcface,buffalo
5_voice_en_35071004_ahead,2.png,22.41912842,5.311122417,6.444919574,4.188933849,76.5404892,0.531069577,0.546506166,3.903657436,56.58596802,60.27007294,0.53248626,0.610168338,74.39086914,0.573574841,0.233642578,3.589346886,3.86690259,4.734833241,0.82931118,0.863099694,0.808315888
5_voice_en_35071004_ahead,3.png,24.68914795,5.337143898,6.794038845,4.199778557,75.80545044,0.577158511,0.539043725,3.944211483,55.73895264,56.42894363,0.568045616,0.591246963,69.90536499,0.572823584,0.235595703,3.610976934,3.925425053,4.840994358,0.792313095,0.815213203,0.761519317
5_voice_en_35071004_ahead,4.png,23.73309326,5.463794708,5.741912967,4.49524641,76.22690582,0.5420084,0.557143807,4.02331543,58.00410843,58.296978,0.584458172,0.634395599,75.1003418,0.577157021,0.229492188,3.701708794,3.853093624,4.862210751,0.81958467,0.831394792,0.794590569
5_voice_en_35071004_ahead,5.png,22.21307373,5.320576191,5.65706512,4.010676384,77.42034149,0.547060966,0.576679111,4.038936138,56.40447617,57.93850708,0.543738663,0.619173586,75.30766296,0.584654272,0.236450195,3.684873819,3.83452177,4.848391056,0.809276153,0.840768635,0.785785603
5_voice_en_35071004_dinet,0.png,21.38885498,5.982628822,4.171592254,5.205629349,70.00511169,0.599747837,0.456764936,4.271413803,64.79759979,71.72364044,0.677144647,0.646546543,54.5067749,0.448260605,0.318359375,5.036207199,4.479832649,5.121351719,0.799160173,0.819336414,0.801416384
5_voice_en_35071004_dinet,1.png,12.73846436,6.859859467,3.555072411,5.221849918,70.88199615,0.626692653,0.481134176,4.428164005,65.81923676,72.85979462,0.672111332,0.65088433,60.56670761,0.452154189,0.317626953,5.0390625,4.481784344,5.231852055,0.811862864,0.831590295,0.819567975
5_voice_en_35071004_dinet,2.png,17.99334717,6.352825165,3.955496796,5.211455345,70.80143738,0.607270896,0.463710904,4.33850193,64.5229187,71.94700623,0.65407443,0.64002353,56.0704689,0.445902169,0.334472656,5.041927338,4.445227623,5.120168209,0.827982392,0.842204213,0.836785996
5_voice_en_35071004_dinet,3.png,13.06512451,6.860990524,3.594575288,5.226093769,70.61695862,0.626651645,0.480209202,4.41659832,66.14170074,72.44774628,0.671691418,0.651765347,60.81304169,0.45324412,0.327392578,5.055818558,4.558517456,5.108406067,0.835332036,0.817966938,0.808683854
5_voice_en_35071004_dinet,4.png,18.49041748,6.400969028,3.94996732,5.23913002,70.31610107,0.60353595,0.461013854,4.340727806,65.26815033,71.95597076,0.639408112,0.631674647,56.48994064,0.449373335,0.34765625,5.019790649,4.463541508,5.153549671,0.813315749,0.837225199,0.819967204
5_voice_en_35071004_dinet,5.png,13.13592529,6.860032082,3.597932092,5.250867844,70.88321686,0.62666595,0.48076582,4.437879562,66.51756287,72.61061859,0.672861695,0.651717126,60.92991257,0.458797991,0.313232422,5.07387352,4.487906933,5.273683071,0.796226902,0.823191464,0.799214141
